GAME,ROUND,COURT,TEAMS
1,1,1,D:K
2,1,2,B:N
3,1,3,C:L
4,1,4,I:G
5,1,5,O:A
6,1,6,H:J
7,1,7,E:M
8,2,1,E:I
9,2,2,A:L
10,2,3,B:J
11,2,4,F:K
12,2,5,M:D
13,2,6,G:O
14,2,7,N:H
15,3,1,O:F
16,3,2,I:H
17,3,3,K:E
18,3,4,A:N
19,3,5,G:J
20,3,6,L:B
21,3,7,M:C
22,4,1,K:H
23,4,2,D:J
24,4,3,A:M
25,4,4,C:O
26,4,5,E:N
27,4,6,I:F
28,4,7,G:L
29,5,1,N:G
30,5,2,O:E
31,5,3,I:D
32,5,4,M:B
33,5,5,H:L
34,5,6,K:C
35,5,7,J:F
36,6,1,B:O
37,6,2,L:F
38,6,3,M:G
39,6,4,J:E
40,6,5,I:C
41,6,6,D:N
42,6,7,A:K
43,7,1,C:N
44,7,2,G:K
45,7,3,O:H
46,7,4,L:D
47,7,5,F:M
48,7,6,J:A
49,7,7,I:B
50,8,1,I:A
51,8,2,J:C
52,8,3,F:N
53,8,4,H:M
54,8,5,K:B
55,8,6,E:L
56,8,7,D:O
57,9,1,F:C
58,9,2,N:M
59,9,3,H:A
60,9,4,O:L
61,9,5,D:E
62,9,6,B:G
63,9,7,K:J
64,10,1,M:L
65,10,2,H:B
66,10,3,N:K
67,10,4,D:F
68,10,5,A:G
69,10,6,C:E
70,10,7,O:I
71,11,1,G:D
72,11,2,F:A
73,11,3,L:I
74,11,4,N:J
75,11,5,C:H
76,11,6,O:M
77,11,7,B:E
78,12,1,J:M
79,12,2,K:O
80,12,3,G:C
81,12,4,E:A
82,12,5,B:F
83,12,6,N:I
84,12,7,H:D
85,13,1,H:E
86,13,2,M:I
87,13,3,J:O
88,13,4,B:C
89,13,5,L:K
90,13,6,A:D
91,13,7,F:G
92,14,1,L:J
93,14,2,E:G
94,14,3,D:B
95,14,4,K:I
96,14,5,N:O
97,14,6,F:H
98,14,7,C:A
99,15,1,A:B
100,15,2,C:D
101,15,3,E:F
102,15,4,G:H
103,15,5,J:I
104,15,6,M:K
105,15,7,L:N
