ROUND,C1,C2,C3,C4,C5,C6,C7,C8,BYE
1,N:A,O:C,F:I,G:J,K:H,L:D,M:E,B:Q,P
2,H:I,N:G,J:E,A:M,F:Q,B:K,P:D,L:C,O
3,G:O,K:D,N:H,C:Q,L:A,P:E,J:B,F:M,I
4,B:P,H:O,I:G,F:L,M:C,D:J,E:K,Q:A,N
5,I:C,F:N,A:O,M:D,G:P,E:Q,B:L,J:H,K
6,O:F,A:I,C:N,H:P,E:L,M:B,D:Q,G:K,J
7,J:M,Q:L,P:K,E:N,B:I,G:F,H:C,D:O,A
8,Q:N,E:H,G:D,J:F,C:K,I:L,O:M,A:P,B
9,L:K,J:Q,M:P,D:I,O:E,A:H,C:G,N:B,F
10,E:G,I:M,H:B,P:C,A:J,Q:O,L:N,K:F,D
11,M:L,P:J,K:Q,O:B,I:N,H:G,A:F,E:D,C
12,D:H,G:B,O:L,K:A,P:F,N:M,Q:I,C:J,E
13,K:J,L:P,Q:M,B:E,N:D,F:C,G:A,O:I,H
14,C:D,B:F,E:A,I:K,Q:G,O:P,N:J,H:L,M
15,F:E,D:A,B:C,Q:H,J:O,K:N,I:P,M:G,L
16,P:Q,M:K,L:J,N:O,D:B,C:A,F:H,I:E,G
17,A:B,C:E,D:F,L:G,H:M,J:I,K:O,P:N,Q
