ROUND,C1,C2,C3,C4,C5,C6,C7,C8,C9
1,D:P,B:O,J:G,L:A,E:N,M:I,K:F,Q:H,C:R
2,E:M,C:K,A:Q,J:H,I:P,D:N,R:B,G:L,F:O
3,C:L,A:M,D:R,I:K,B:Q,J:F,H:N,O:E,G:P
4,R:H,L:I,N:F,M:B,K:G,A:O,E:J,C:P,Q:D
5,O:G,J:D,P:B,N:C,A:R,H:K,Q:I,F:M,L:E
6,N:I,R:F,H:L,Q:G,M:D,P:E,C:O,J:A,K:B
7,K:A,Q:E,M:C,P:F,O:H,R:G,L:D,B:N,J:I
8,I:D,H:A,K:O,R:E,C:F,L:Q,B:G,M:J,P:N
9,P:J,K:L,B:H,C:Q,N:O,I:A,M:R,E:F,D:G
10,F:Q,G:N,E:K,D:O,J:C,B:L,A:P,R:I,H:M
11,G:C,I:B,L:M,H:P,F:A,O:R,D:E,K:Q,N:J
12,B:F,D:H,R:J,A:N,G:E,Q:P,I:C,L:O,M:K
13,M:O,P:R,Q:N,K:D,L:J,E:B,G:A,H:C,I:F
14,L:N,M:Q,O:P,B:J,R:K,C:D,F:H,I:G,E:A
15,Q:R,O:J,I:E,F:L,P:M,G:H,N:K,A:D,B:C
16,H:E,F:G,C:A,O:I,D:B,N:M,J:Q,P:K,R:L
17,A:B,E:C,F:D,G:M,H:I,K:J,P:L,N:R,O:Q
