ROUND,C1,C2,C3,C4,C5,C6,C7,C8,C9,BYE
1,Q:J,C:N,G:S,P:K,I:F,B:M,E:L,O:A,D:R,H
2,F:S,O:I,H:L,Q:B,E:K,A:P,N:D,R:C,M:G,J
3,L:Q,A:S,C:O,R:F,M:D,H:K,G:J,I:P,E:N,B
4,R:G,I:E,N:M,D:Q,H:O,J:B,S:P,L:F,A:K,C
5,I:M,R:H,P:B,E:J,N:G,L:O,F:K,A:Q,S:C,D
6,E:R,J:P,K:C,H:N,D:L,Q:F,M:S,B:O,G:I,A
7,H:C,F:O,R:J,A:I,Q:M,D:S,K:N,P:E,L:B,G
8,J:D,P:L,Q:I,F:G,B:N,M:C,R:A,S:H,K:O,E
9,M:A,S:B,L:K,C:P,R:Q,N:I,D:G,F:J,H:E,O
10,B:H,G:A,I:R,S:E,O:J,P:D,C:Q,M:K,N:L,F
11,O:P,Q:K,B:G,J:M,F:C,R:L,A:H,E:D,I:S,N
12,D:K,M:F,O:E,L:A,P:H,S:N,I:B,Q:G,C:J,R
13,G:O,B:R,A:N,I:D,J:S,E:Q,L:C,H:M,F:P,K
14,C:E,N:Q,F:D,O:S,K:B,I:H,P:R,G:L,J:A,M
15,P:N,K:G,J:H,M:L,S:R,F:A,B:E,C:I,O:D,Q
16,S:L,H:D,M:P,K:R,A:E,C:G,Q:O,J:N,B:F,I
17,N:F,E:M,D:A,B:C,G:P,O:R,J:I,K:S,Q:H,L
18,K:I,L:J,S:Q,N:O,C:A,G:E,H:F,D:B,R:M,P
19,A:B,D:C,E:F,G:H,L:I,K:J,O:M,N:R,P:Q,S
