ROUND,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
1,T:G,I:N,K:P,O:C,F:R,M:A,H:L,Q:B,D:J,E:S
2,P:E,M:J,O:Q,S:A,L:C,G:K,I:F,N:H,R:B,T:D
3,D:K,G:S,H:R,B:L,P:M,E:J,C:N,F:O,A:T,Q:I
4,J:A,F:L,T:E,P:G,N:Q,S:D,O:B,R:C,H:I,K:M
5,L:N,O:R,J:S,M:D,B:I,H:F,K:T,E:G,Q:C,A:P
6,B:H,D:P,I:C,F:Q,T:S,O:N,G:A,J:K,E:M,R:L
7,C:F,H:Q,G:M,J:T,K:A,I:R,D:E,S:P,O:L,B:N
8,R:P,N:M,L:J,D:O,C:T,F:G,S:I,A:Q,B:K,H:E
9,M:L,P:B,R:D,I:J,Q:E,K:H,A:O,C:S,T:F,N:G
10,H:S,K:O,Q:T,N:E,J:F,D:I,B:M,G:R,L:A,P:C
11,G:I,L:E,C:K,T:B,A:N,R:M,F:P,H:D,S:O,J:Q
12,K:Q,S:F,A:H,C:M,O:G,P:L,E:R,B:J,N:D,I:T
13,F:D,Q:G,M:I,A:R,S:B,N:T,J:C,O:E,P:H,L:K
14,E:C,A:I,B:G,K:F,D:L,Q:S,T:H,P:N,J:R,M:O
15,N:J,R:T,P:O,L:S,M:H,B:E,Q:D,K:I,C:G,F:A
16,I:O,E:A,F:B,R:N,G:D,L:Q,P:J,T:M,K:S,C:H
17,S:M,B:C,D:A,E:K,H:O,T:P,R:Q,I:L,F:N,G:J
18,O:T,J:H,S:N,Q:P,R:K,A:C,L:G,M:F,I:E,D:B
19,A:B,C:D,E:F,G:H,I:P,J:O,N:K,L:T,M:Q,S:R
