ROUND,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,BYE
1,O:P,A:U,Q:B,K:R,F:T,E:S,I:G,L:D,H:J,N:C,M
2,D:T,P:C,U:M,N:B,A:R,K:F,E:O,J:G,S:I,H:L,Q
3,F:H,I:L,G:O,A:T,J:B,C:Q,K:S,N:E,M:R,D:U,P
4,K:N,S:F,J:I,G:D,R:H,P:T,L:Q,B:M,U:C,O:A,E
5,L:J,O:D,A:P,U:Q,G:M,R:B,T:C,H:S,E:K,I:N,F
6,G:E,T:H,C:L,O:M,K:P,N:A,U:B,I:R,F:Q,S:D,J
7,R:D,E:P,H:U,B:L,I:C,O:K,G:T,Q:J,A:S,F:M,N
8,N:Q,F:R,I:E,H:G,D:K,T:L,S:J,M:A,C:O,P:B,U
9,J:C,D:M,P:N,F:U,E:L,B:I,O:R,S:T,K:G,A:Q,H
10,E:U,H:B,L:K,S:O,N:G,A:J,F:I,R:P,Q:D,M:T,C
11,S:M,J:N,D:F,I:P,O:Q,U:G,R:L,K:C,B:T,E:H,A
12,C:R,M:E,N:H,L:F,U:J,I:O,D:P,T:Q,G:A,B:S,K
13,U:I,B:G,K:T,C:S,Q:E,J:M,H:A,P:F,D:N,L:O,R
14,M:L,N:O,F:A,Q:I,P:S,G:R,J:D,C:H,T:E,U:K,B
15,Q:S,R:J,E:D,P:H,T:N,L:U,C:M,A:K,O:B,G:F,I
16,I:A,G:Q,T:R,E:C,S:U,M:H,B:K,F:O,N:L,J:P,D
17,B:F,K:I,S:G,T:J,L:A,D:C,Q:H,U:N,P:M,R:E,O
18,H:K,L:S,O:J,D:A,C:F,Q:P,M:N,E:B,R:U,T:I,G
19,P:G,U:T,B:C,M:K,H:O,S:N,A:E,D:I,J:F,Q:R,L
20,T:O,C:A,M:Q,R:N,B:D,F:E,P:U,G:L,I:H,K:J,S
21,A:B,Q:K,R:S,J:E,M:I,H:D,N:F,O:U,L:P,C:G,T
