ROUND,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,BYE
1,K:S,M:F,D:P,G:H,O:T,B:R,C:V,N:Q,U:J,E:W,L:A,I
2,J:C,T:I,M:V,K:B,L:S,F:E,N:G,U:P,Q:A,O:D,W:H,R
3,T:A,W:G,N:D,H:U,J:K,I:S,R:P,E:C,O:B,V:L,F:Q,M
4,E:K,Q:C,R:H,J:O,D:W,N:B,F:T,M:L,A:S,G:U,I:V,P
5,B:W,G:R,E:O,V:A,T:C,S:F,U:D,Q:K,P:H,M:I,J:N,L
6,G:M,F:U,A:R,P:I,Q:E,T:J,L:H,S:B,N:K,W:C,V:D,O
7,U:E,S:O,V:K,N:T,A:I,Q:W,J:R,L:F,C:M,D:H,B:P,G
8,R:V,H:T,Q:G,W:L,U:M,A:O,D:E,B:J,S:P,I:N,K:F,C
9,I:D,B:L,J:M,E:V,K:R,C:P,S:Q,G:A,W:N,H:F,O:U,T
10,V:G,D:S,C:N,Q:J,P:L,H:M,K:O,F:W,B:T,U:A,R:I,E
11,C:F,L:N,H:Q,T:P,E:G,V:U,M:W,O:I,J:D,S:R,A:K,B
12,H:I,V:B,P:A,U:C,R:F,W:K,O:N,D:M,G:L,T:E,S:J,Q
13,F:N,E:J,G:S,L:R,W:A,D:T,P:M,I:U,H:V,Q:B,C:O,K
14,P:J,O:V,I:F,M:K,H:B,L:C,Q:U,W:T,E:R,N:S,D:G,A
15,D:L,U:K,S:E,O:W,F:P,G:I,H:A,C:R,T:Q,J:V,M:B,N
16,M:O,P:E,T:U,A:F,N:V,K:L,W:S,J:H,I:C,B:G,Q:R,D
17,L:U,R:M,W:I,D:Q,S:H,P:V,E:B,A:N,F:O,C:K,G:T,J
18,O:Q,J:W,K:T,C:S,B:U,R:D,V:F,P:G,L:I,A:M,N:E,H
19,W:R,N:P,F:B,I:E,C:D,O:H,A:J,V:S,K:G,L:Q,T:M,U
20,S:T,A:D,L:J,F:G,V:Q,U:N,B:I,R:O,M:E,K:P,H:C,W
21,N:H,I:Q,B:C,S:M,G:O,E:A,T:L,K:D,R:U,F:J,P:W,V
22,Q:P,C:A,O:L,B:D,M:N,J:G,I:K,H:E,V:W,R:T,U:S,F
23,A:B,K:H,U:W,R:N,I:J,M:Q,G:C,T:V,D:F,P:O,E:L,S
