ROUND,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
1,K:N,L:M,P:I,O:J,X:E,F:W,A:T,B:S,G:V,H:U,R:C,D:Q
2,J:P,O:I,N:L,M:K,H:V,G:U,R:D,C:Q,F:X,W:E,B:T,S:A
3,L:O,K:P,M:J,I:N,F:U,V:E,B:Q,R:A,H:W,G:X,D:S,T:C
4,I:M,N:J,K:O,P:L,W:G,H:X,S:C,T:D,E:U,F:V,Q:A,B:R
5,V:K,U:L,I:X,J:W,P:A,B:O,T:E,S:F,C:N,D:M,G:R,Q:H
6,X:J,I:W,L:V,K:U,D:N,C:M,H:R,Q:G,B:P,O:A,T:F,E:S
7,W:L,X:K,J:U,V:I,B:M,N:A,Q:F,E:R,D:O,C:P,S:H,G:T
8,U:I,J:V,W:K,L:X,O:C,D:P,G:S,H:T,A:M,B:N,E:Q,R:F
9,N:S,M:T,Q:P,R:O,A:X,W:B,E:L,F:K,V:C,U:D,J:G,H:I
10,P:R,Q:O,T:N,S:M,V:D,U:C,J:H,G:I,X:B,A:W,F:L,K:E
11,O:T,P:S,R:M,N:Q,U:B,A:V,F:I,J:E,W:D,X:C,H:K,L:G
12,M:Q,R:N,O:S,T:P,C:W,X:D,K:G,L:H,U:A,V:B,I:E,F:J
13,S:V,T:U,X:Q,W:R,E:P,O:F,L:A,K:B,N:G,M:H,C:J,I:D
14,R:X,W:Q,V:T,U:S,N:H,M:G,D:J,I:C,P:F,E:O,L:B,A:K
15,T:W,S:X,U:R,Q:V,M:F,E:N,I:B,A:J,O:H,P:G,K:D,C:L
16,Q:U,V:R,S:W,X:T,G:O,P:H,C:K,D:L,M:E,N:F,A:I,J:B
17,E:D,G:B,H:C,A:F,S:L,Q:J,P:W,U:N,T:I,K:R,M:X,O:V
18,F:C,H:A,E:B,D:G,R:I,T:K,M:V,X:O,S:J,L:Q,N:W,P:U
19,B:H,D:F,A:G,E:C,K:Q,I:S,U:O,M:W,L:R,T:J,V:P,X:N
20,C:G,A:E,D:H,F:B,L:T,J:R,X:P,N:V,K:S,Q:I,W:O,U:M
21,D:A,B:C,G:F,H:E,J:K,L:I,O:N,P:M,Q:T,R:S,X:U,V:W
22,H:F,E:G,B:D,C:A,T:R,S:Q,V:X,W:U,J:L,I:K,P:N,M:O
23,A:B,C:D,F:E,G:H,I:J,K:L,N:M,O:P,R:Q,S:T,U:V,W:X
