ROUND,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,BYE
1,I:P,M:E,D:N,Y:Q,S:B,K:G,O:U,J:H,A:T,L:V,R:X,C:W,F
2,G:L,W:I,X:O,F:S,T:J,U:D,B:Y,R:A,P:M,C:K,H:N,V:E,Q
3,N:I,F:U,W:T,C:P,E:S,Q:K,H:O,G:X,V:A,R:B,D:M,Y:J,L
4,D:X,E:P,N:U,Q:B,M:W,Y:F,J:R,H:T,L:C,V:G,A:O,I:K,S
5,V:S,X:B,R:P,W:G,H:K,N:A,Q:I,U:C,E:O,F:T,L:J,D:Y,M
6,F:Q,I:M,O:D,S:Y,C:V,R:H,W:E,A:J,X:N,K:L,U:T,P:G,B
7,B:M,O:F,A:W,I:C,G:Y,T:L,P:D,X:K,U:J,S:R,V:H,Q:N,E
8,S:G,Q:D,E:J,V:M,K:T,A:U,I:B,L:N,O:P,H:Y,X:W,R:F,C
9,R:E,A:L,Y:K,J:O,Q:X,W:V,N:C,M:S,H:F,D:I,B:P,G:U,T
10,K:U,J:V,Q:L,H:D,P:A,O:B,T:S,E:Y,G:I,N:M,W:F,X:C,R
11,C:H,Y:O,M:A,L:I,R:N,X:E,F:V,K:D,W:Q,J:S,P:U,B:T,G
12,M:F,B:N,P:H,G:E,Y:C,L:R,D:W,V:U,J:X,T:Q,O:I,S:A,K
13,E:K,T:C,F:G,R:U,A:Q,V:O,S:N,W:B,I:H,X:P,M:Y,L:D,J
14,J:C,U:Q,T:E,P:V,D:R,M:X,L:F,N:G,Y:W,B:H,K:A,O:S,I
15,U:Y,R:K,S:C,A:X,L:P,B:J,M:T,I:F,D:G,O:W,E:Q,N:V,H
16,W:N,D:S,J:I,M:K,F:E,C:Q,X:H,O:L,R:V,Y:A,T:G,U:B,P
17,O:T,N:Y,H:M,E:L,I:U,S:P,A:G,D:V,K:B,Q:J,C:R,F:X,W
18,Y:R,H:G,B:V,T:N,X:L,J:W,C:M,P:Q,F:D,U:E,I:S,K:O,A
19,T:D,S:X,I:R,K:W,U:M,P:Y,G:J,C:O,B:L,A:F,N:E,H:Q,V
20,H:A,P:W,U:X,B:F,N:O,E:I,V:K,T:R,Q:S,G:C,J:D,M:L,Y
21,L:W,V:T,G:Q,U:H,J:F,D:C,Y:X,B:E,M:R,P:N,S:K,A:I,O
22,X:V,K:J,L:S,D:A,W:H,F:N,R:Q,Y:I,C:E,M:O,G:B,T:P,U
23,Q:O,G:R,C:B,X:T,V:I,H:S,E:A,F:P,N:K,W:U,Y:L,J:M,D
24,P:J,C:A,K:F,O:R,B:D,G:M,U:L,S:W,T:Y,I:X,Q:V,E:H,N
25,A:B,L:H,V:Y,N:J,O:G,I:T,K:P,Q:M,S:U,E:D,F:C,W:R,X
