ROUND,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
1,P:D,G:O,M:H,E:X,F:Z,I:Y,K:V,B:R,U:A,Q:C,S:N,L:T,W:J
2,G:W,D:J,C:L,A:N,B:Q,R:E,U:F,I:V,Y:K,M:Z,X:O,P:H,T:S
3,N:V,R:L,J:U,H:Q,Y:G,D:Z,X:C,A:W,T:B,S:E,F:P,O:I,M:K
4,T:H,X:D,Z:C,Y:A,V:B,E:U,F:R,Q:I,K:N,L:M,O:J,W:P,S:G
5,L:J,H:Y,V:G,S:R,P:U,Q:A,N:B,Z:K,I:X,F:W,T:E,M:D,O:C
6,B:O,P:K,I:S,F:T,W:E,M:X,A:Z,Y:C,D:V,G:U,H:R,Q:J,N:L
7,S:P,T:A,B:W,K:J,I:L,F:N,E:Q,M:U,R:O,C:V,D:Y,Z:G,H:X
8,X:L,W:N,Q:T,D:U,C:R,V:O,Y:M,E:Z,F:J,I:H,G:K,B:S,A:P
9,C:S,O:T,W:M,X:K,Z:I,Y:F,V:E,U:B,A:R,P:Q,N:D,G:L,J:H
10,J:Z,N:H,G:Q,R:D,U:C,A:V,B:Y,L:E,X:F,W:I,K:T,S:M,P:O
11,R:U,Q:V,Y:N,L:Z,J:X,H:W,T:G,D:S,C:P,O:A,M:B,E:K,F:I
12,K:F,M:I,E:O,P:B,A:S,T:C,D:W,X:G,H:Z,Y:J,V:L,N:U,Q:R
13,M:A,E:P,S:F,T:I,K:W,X:B,Z:O,C:N,Q:D,R:G,U:H,J:V,L:Y
14,H:G,J:S,L:P,N:O,Q:M,K:R,I:U,V:F,E:Y,Z:B,A:X,C:W,D:T
15,O:M,K:C,D:I,G:F,E:H,B:J,L:A,P:Y,V:S,U:T,R:W,X:Q,Z:N
16,Q:N,Z:R,U:X,W:V,T:Y,L:D,C:J,H:A,B:G,K:S,P:I,F:O,E:M
17,F:E,I:B,K:A,C:M,O:D,G:P,S:H,J:T,W:L,N:X,Q:Z,Y:R,V:U
18,Y:Q,L:U,R:J,V:H,G:N,Z:S,P:X,W:O,M:T,E:D,C:F,I:A,K:B
19,W:T,S:X,P:Z,O:Y,M:V,U:K,R:I,F:Q,N:E,B:L,J:A,H:C,G:D
20,V:Y,U:Z,X:R,Q:W,N:T,S:L,J:P,O:H,G:M,D:K,I:C,A:F,B:E
21,I:K,B:F,A:E,M:P,S:O,C:G,H:D,T:X,Z:W,J:N,L:Q,U:Y,R:V
22,D:C,A:G,H:B,J:E,L:F,N:I,Q:K,R:M,O:U,V:P,Y:S,T:Z,X:W
23,E:I,F:M,O:K,B:C,D:A,P:T,W:S,G:J,L:H,X:Y,Z:V,R:N,U:Q
24,Z:X,Y:W,T:V,U:S,R:P,O:Q,M:N,K:L,J:I,H:F,E:G,D:B,C:A
25,A:B,C:E,F:D,I:G,H:K,J:M,O:L,N:P,S:Q,T:R,W:U,V:X,Y:Z
