ROUND,C1,C2,C3,C4,BYE
1,C+D:K+I,H+M:O+Q,L+B:F+P,G+E:N+J,A
2,M+I:C+N,D+P:F+G,A+E:H+Q,L+O:J+K,B
3,H+A:F+B,L+D:Q+N,K+M:G+I,J+P:E+O,C
4,A+M:L+P,C+B:J+O,H+I:K+E,F+N:Q+G,D
5,P+N:M+J,I+Q:H+L,B+O:D+G,A+F:K+C,E
6,G+K:Q+C,J+L:I+B,O+H:N+A,E+D:M+P,F
7,J+F:N+H,O+K:B+M,Q+L:E+C,P+A:D+I,G
8,L+C:G+M,K+A:N+E,F+D:J+B,O+I:P+Q,H
9,B+P:A+Q,M+E:K+F,D+N:C+O,H+J:G+L,I
10,O+G:E+L,Q+F:M+D,N+K:P+H,I+C:A+B,J
11,F+L:O+A,G+H:P+I,J+C:Q+D,N+M:B+E,L
12,K+H:J+D,F+C:E+P,G+A:O+M,Q+B:I+N,M
13,D+B:H+E,A+I:G+J,C+P:L+N,K+Q:O+F,N
14,E+Q:B+G,P+O:C+H,I+J:M+F,D+K:L+A,O
15,Q+J:P+K,N+G:D+A,E+F:I+L,B+H:C+M,P
16,I+E:D+O,B+N:L+K,M+Q:A+J,C+G:F+H,Q
17,N+O:I+F,E+J:A+C,P+G:B+K,M+L:H+D,R
