ROUND,C1,C2,C3,C4,C5
1,O:G,A+K:H+I,Q+N:M+B,L+C:D+E,R+F:P+J
2,K:P,E+B:F+N,I+O:L+J,R+Q:H+G,M+C:A+D
3,E:C,M+D:Q+G,P+A:R+N,J+F:B+I,K+H:L+O
4,N:Q,E+L:O+R,C+I:H+F,P+K:G+M,B+D:J+A
5,R:M,Q+J:I+A,K+D:P+B,O+H:E+F,L+N:C+G
6,L:F,C+E:M+O,J+H:G+A,D+N:I+K,B+Q:P+R
7,H:J,N+A:P+L,K+M:E+R,F+B:Q+C,G+O:D+I
8,B:I,C+O:R+H,D+G:L+F,M+A:K+J,P+Q:N+E
9,D:H,L+G:K+B,N+P:A+E,C+R:I+Q,J+M:F+O
10,J:R,F+M:N+C,G+K:Q+H,B+A:O+E,I+P:D+L
11,Q:O,P+H:B+L,J+R:C+D,I+G:M+N,E+K:A+F
12,F:N,K+Q:J+D,M+E:I+L,A+O:C+P,H+B:R+G
13,G:E,I+M:O+P,R+A:F+K,N+B:H+D,Q+L:C+J
14,I:A,H+E:D+Q,B+J:M+L,G+P:F+C,K+R:O+N
15,M:B,K+C:N+J,P+D:O+Q,L+R:A+H,F+I:G+E
16,C:K,D+F:R+M,H+L:N+I,P+E:J+G,O+B:Q+A
17,P:I,J+E:H+N,O+K:B+C,A+L:M+Q,F+G:R+D
18,R:L,A+C:G+B,F+P:H+M,O+D:N+K,J+I:E+Q
19,A:D,Q+F:L+K,G+N:J+O,E+I:R+B,H+C:M+P
