ROUND,C1,C2,C3,C4,C5,BYE
1,R+N:B+H,M+Q:F+P,T+L:J+O,S+K:E+G,U+I:D+C,A
2,I+P:E+K,N+U:S+O,M+G:C+Q,T+D:B+L,J+F:A+H,R
3,U+T:J+Q,D+K:A+F,I+H:L+P,C+E:R+O,M+B:S+G,N
4,B+F:R+E,T+M:C+P,D+O:G+K,I+S:J+H,L+A:N+Q,U
5,M+I:L+K,S+E:N+A,B+Q:H+F,G+R:U+P,D+J:C+O,T
6,J+A:U+R,I+D:G+F,S+P:O+E,B+C:L+Q,H+N:T+K,M
7,D+B:H+E,C+R:T+N,J+K:Q+A,O+U:M+F,S+L:G+P,I
8,L+N:M+U,B+S:O+A,C+F:P+R,J+G:H+K,Q+T:I+E,D
9,S+J:Q+R,G+U:I+T,L+E:K+N,P+M:D+A,C+H:O+F,B
10,H+T:D+M,J+C:P+N,G+A:F+U,L+O:Q+E,K+I:B+R,S
11,C+L:K+U,O+M:B+I,H+R:E+T,F+D:S+N,G+Q:P+A,J
12,Q+I:S+D,L+G:F+T,O+N:A+M,H+P:K+R,E+B:J+U,C
13,G+H:E+M,P+D:J+B,Q+U:R+I,A+S:C+T,O+K:F+N,L
14,K+B:C+S,H+O:A+I,P+T:N+D,Q+F:E+U,R+J:L+M,G
15,O+Q:R+D,F+S:L+J,K+M:U+B,N+C:G+I,P+E:A+T,H
16,E+J:G+C,Q+P:N+B,F+I:T+S,K+A:R+M,U+L:H+D,O
17,P+K:U+S,A+C:H+L,E+D:M+J,T+G:O+B,F+R:N+I,Q
18,R+L:O+G,K+F:T+J,A+B:I+C,E+N:U+D,M+H:Q+S,P
19,F+E:M+C,N+G:Q+H,R+S:D+L,I+O:P+J,A+U:T+B,K
20,U+H:P+O,E+A:I+L,N+J:B+G,R+T:M+S,D+Q:K+C,F
21,A+R:D+G,T+O:K+Q,U+C:S+H,B+P:F+L,N+M:I+J,E
