ROUND,C1,C2,C3,C4,C5,C6
1,M+D:F+U,H+R:K+Q,W+J:P+A,V+T:E+L,B+I:X+O,N+S:G+C
2,N+E:R+P,D+F:W+I,G+V:H+X,M+A:C+B,K+T:U+S,O+L:Q+J
3,A+C:K+L,J+X:P+T,M+S:I+O,D+H:E+U,W+G:N+Q,R+V:B+F
4,T+Q:U+V,E+G:O+C,A+N:H+B,S+I:R+X,M+F:L+J,K+W:D+P
5,H+W:J+I,R+K:A+U,F+L:E+Q,V+P:B+G,S+D:N+O,M+C:X+T
6,E+R:S+B,M+I:Q+V,G+U:O+W,N+K:T+L,C+X:H+P,F+A:D+J
7,M+L:P+G,C+S:A+T,D+R:V+X,H+E:F+O,W+B:J+K,I+Q:N+U
8,I+F:S+V,L+P:D+B,N+H:C+J,M+X:U+W,A+E:G+Q,K+O:T+R
9,X+U:A+O,R+J:V+E,M+Q:B+K,L+C:F+G,D+N:I+T,S+H:W+P
10,E+T:G+H,F+N:K+U,X+I:C+W,Q+B:S+J,M+P:O+R,A+D:L+V
11,C+D:R+B,S+A:X+G,P+O:F+T,H+V:W+N,Q+L:I+K,M+U:J+E
12,F+S:Q+W,M+B:T+H,N+G:K+D,I+A:E+O,U+J:C+V,P+X:L+R
13,M+O:V+N,U+Q:X+E,L+S:H+J,C+F:P+K,D+W:R+A,B+T:I+G
14,B+P:Q+H,O+V:L+W,I+C:U+R,M+J:G+D,X+F:N+T,A+K:E+S
15,J+G:X+K,S+R:H+F,M+T:W+A,O+U:P+N,L+I:B+E,Q+C:D+V
16,F+E:N+C,P+I:A+G,J+B:U+D,T+W:Q+R,M+V:K+S,X+L:O+H
17,U+L:S+W,Q+X:J+N,V+K:P+E,C+H:D+I,T+O:B+A,M+G:R+F
18,P+Q:T+D,M+W:E+C,I+N:A+L,B+X:F+K,G+R:U+H,V+J:O+S
19,M+K:H+I,G+T:J+F,O+Q:C+R,U+P:V+A,L+D:S+X,W+E:B+N
20,W+V:T+C,K+H:O+D,B+U:G+S,M+R:N+L,J+P:I+E,X+A:F+Q
21,R+N:J+A,Q+S:C+P,M+E:D+X,K+G:V+I,O+B:W+F,T+U:L+H
22,P+F:I+U,V+B:X+N,R+W:G+L,E+D:T+S,M+H:A+Q,J+O:K+C
23,G+O:Q+D,T+J:R+I,H+A:V+F,U+C:L+B,E+K:W+X,M+N:S+P
