ROUND,C1,C2,C3,C4,C5,C6,BYE
1,E+D:S+L,K+I:V+Q,M+X:A+R,O+G:J+F,B+P:Y+W,H+U:C+N,T
2,K+M:B+H,R+Y:X+O,I+S:P+T,L+V:W+C,J+U:N+G,A+Q:E+F,D
3,I+R:J+A,S+B:U+D,O+N:Y+L,H+P:G+E,W+Q:F+V,X+T:K+C,M
4,S+O:W+X,L+F:N+H,B+J:Q+M,A+U:V+K,G+T:C+P,Y+D:I+E,R
5,B+L:G+Y,J+W:T+R,H+C:F+A,X+Q:P+I,V+D:E+U,N+M:S+K,O
6,J+H:V+N,A+E:C+X,W+G:D+O,Y+T:U+S,P+M:K+Q,F+R:B+I,L
7,W+A:P+F,G+V:M+L,X+K:E+Y,N+D:Q+B,U+R:I+T,C+O:J+S,H
8,G+X:U+C,Y+I:K+N,V+P:R+H,F+M:T+J,Q+O:S+D,E+L:W+B,A
9,V+Y:Q+E,P+U:O+A,N+S:I+F,C+R:D+W,T+L:B+M,K+H:G+J,X
10,P+N:T+K,F+B:S+C,U+Q:L+X,E+O:M+G,D+H:J+R,I+A:V+W,Y
11,U+F:D+I,Q+T:H+Y,C+J:B+E,K+L:R+V,M+A:W+O,S+X:P+G,N
12,Q+C:M+S,E+W:J+K,T+D:A+N,I+H:O+P,R+X:G+L,B+Y:U+V,F
13,T+E:R+B,D+M:X+F,K+G:W+I,S+A:L+U,O+Y:V+H,J+N:Q+P,C
14,D+K:O+J,I+V:G+S,M+R:Y+C,B+X:H+Q,L+N:P+A,W+F:T+U,E
15,M+I:L+W,R+O:N+E,S+P:V+B,J+Y:A+T,H+F:U+X,G+C:D+Q,K
16,R+S:H+G,B+U:P+J,O+L:F+K,W+N:X+D,A+C:Q+Y,V+E:M+T,I
17,O+B:A+V,L+H:C+I,J+Q:U+W,G+F:Y+M,X+E:T+N,P+K:R+D,S
18,L+J:X+P,W+T:Q+G,H+A:E+S,V+C:N+R,Y+K:D+F,U+I:O+M,B
19,H+W:Y+U,A+X:K+B,G+D:T+V,P+E:F+O,N+I:M+C,Q+S:L+R,J
20,A+G:N+Q,V+M:D+P,X+Y:I+J,U+K:C+L,F+S:R+E,T+B:H+O,W
21,X+V:F+T,Y+N:S+W,P+R:M+U,Q+I:E+H,C+B:O+K,D+J:A+L,G
22,Y+P:C+D,U+O:R+Q,N+F:B+G,T+S:K+A,E+J:L+I,M+W:X+H,V
23,N+U:E+M,F+C:J+V,Q+L:O+T,D+B:I+X,K+W:H+S,R+G:Y+A,P
24,F+Q:K+R,T+H:L+D,C+E:W+P,M+J:S+Y,I+G:A+B,O+V:N+X,U
25,C+T:I+O,E+K:G+U,D+A:H+M,R+W:B+N,S+V:X+J,L+P:F+Y,Q
