ROUND,C1,C2,C3,C4,C5,C6,C7
1,C:W+W,H+R:B+D,J+Y:M+X,L+P:V+T,E+Q:F+Z,N+K:A+O,S+G:U+I
2,Z:E+E,P+S:Y+C,Q+G:N+H,I+K:J+D,T+X:A+B,R+V:M+U,O+L:F+W
3,F:G+G,W+T:R+M,Y+X:J+S,B+L:P+N,U+C:Q+K,D+O:Z+H,E+A:V+I
4,Y:R+R,Q+U:D+V,B+W:H+M,K+S:E+G,A+F:N+O,C+L:I+J,T+Z:P+X
5,F:L+L,J+G:Z+S,O+T:C+E,X+N:Y+V,Q+H:P+M,U+D:A+W,B+K:I+R
6,G:P+P,A+L:E+D,V+Q:W+J,K+Z:F+I,U+N:B+O,S+R:T+C,Y+M:X+H
7,L:U+U,I+C:G+Y,H+D:Z+N,W+X:T+Q,E+K:M+S,P+B:J+F,V+A:R+O
8,B:D+D,O+H:X+L,M+Q:G+I,P+V:N+S,C+J:A+T,U+Z:Y+R,F+E:W+K
9,X:O+O,Q+P:R+K,Y+Z:C+W,H+T:M+D,S+I:L+F,J+A:E+B,U+V:G+N
10,U:C+C,L+J:H+I,S+V:A+P,E+O:X+B,Y+T:G+Z,M+K:W+N,R+F:Q+D
11,O:M+M,A+Y:T+F,D+I:K+C,Q+R:L+S,P+E:U+H,B+V:X+Z,J+N:G+W
12,R:V+V,Z+M:K+J,P+U:F+X,A+I:H+W,G+L:O+C,E+Y:N+D,T+B:S+Q
13,E:J+J,O+I:Q+N,S+D:R+L,M+F:U+Y,H+B:V+W,K+P:G+T,A+X:C+Z
14,S:N+N,W+E:V+G,Z+O:T+K,C+H:R+P,D+A:J+M,I+X:F+U,L+Y:Q+B
15,D:T+T,K+A:L+U,C+P:E+V,W+Q:Y+O,X+R:I+N,M+G:B+Z,F+S:H+J
16,H:A+A,Y+W:P+F,B+J:U+R,C+G:D+X,O+S:K+V,Q+I:E+T,Z+L:N+M
17,T:Q+Q,C+D:S+B,N+A:P+G,O+W:J+U,I+M:Z+R,Y+F:L+V,K+H:E+X
18,M:F+F,J+Z:H+V,O+U:I+T,E+N:C+R,B+G:K+Y,A+S:Q+X,P+W:D+L
19,K:Y+Y,T+P:I+W,R+B:G+A,D+Z:S+U,J+X:L+N,V+M:F+C,H+E:O+Q
20,P:B+B,C+X:M+E,V+Z:L+Q,G+F:R+A,D+W:Y+I,S+H:O+J,N+T:K+U
21,I:H+H,F+N:S+T,W+R:X+K,V+J:B+Y,G+U:E+L,Z+Q:C+A,M+O:P+D
22,J:Q+Q,X+O:G+R,F+B:E+Z,I+P:A+M,N+V:D+T,H+Y:L+K,S+C:W+U
23,A:K+K,N+C:F+H,T+M:V+O,Z+W:U+B,L+I:S+X,G+D:J+Q,E+R:Y+P
24,N:Z+Z,Y+Q:U+A,D+F:X+G,T+R:H+L,J+P:O+K,W+M:S+E,I+B:C+V
25,W:S+S,X+V:D+K,L+M:Q+A,N+Y:I+E,H+G:T+U,B+C:O+F,R+J:Z+P
26,V:I+I,M+B:L+T,R+N:J+E,F+K:Q+C,W+S:Z+A,X+U:H+P,D+Y:O+G
27,Q:X+X,I+Z:O+P,A+H:S+Y,U+E:T+J,R+D:V+F,L+W:K+G,B+N:M+C
